story,season,primary_colour,exclusive,garment_pattern,print_pattern_type,number_of_components,number_of_pockets,pocket_type,neck,collar,placket,length,sleeve_length,sleeve_type,hemline,waist_rise,footwear_ankle_type,closure,footwear_insole,fabric_story,fabric_weave_pattern,wash_care,footwear_upper_material,footwear_sole_material,fabric_composition,denim_cast,color_family
,,Cedar Brown,,,,,,,,,,,,,,,,,,,,,,,,,
,,Celeste,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cerulean Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chalk Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chalk Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chambray Black,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chambray Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chambray Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chambray Indigo,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charcoal Black,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charcoal Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charcoal Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cherry Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Choco,,,,,,,,,,,,,,,,,,,,,,,,,
,,Choco Camo,,,,,,,,,,,,,,,,,,,,,,,,,
,,Choco Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Choco Ombre,,,,,,,,,,,,,,,,,,,,,,,,,
,,Choco Print,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cinnamon Swirl,,,,,,,,,,,,,,,,,,,,,,,,,
,,Circular Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Citrus Canopy,,,,,,,,,,,,,,,,,,,,,,,,,
,,Classic Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Clay Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cloud Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cobalt Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coconut Milk,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coffee Brown,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coffee Liqueur,,,,,,,,,,,,,,,,,,,,,,,,,
,,Copper Brown,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coral,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coral Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cornflower,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cotton Candy,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cranberry Juice,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cranberry Milkshake,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cranberry Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cream,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cream Blush,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cream Diagonal,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cream White,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cream Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crimson Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cyber Lime,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Beige,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Beige Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Blue (ds),,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Brown,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Coffee,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Cream,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Denim,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Green Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Khaki,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Maroon,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Mauve,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Navy,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Olive,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Orange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Purple,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Tan,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Teal,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark oak,,,,,,,,,,,,,,,,,,,,,,,,,
,,Darkest Spruce,,,,,,,,,,,,,,,,,,,,,,,,,
,,Day Lily,,,,,,,,,,,,,,,,,,,,,,,,,
,,December Sky,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Lake,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Lichen Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Sea,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Teal,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Water,,,,,,,,,,,,,,,,,,,,,,,,,
,,Delicate Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Delicate Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Denim Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Desert Camo,,,,,,,,,,,,,,,,,,,,,,,,,
,,Desert Peach,,,,,,,,,,,,,,,,,,,,,,,,,
,,Diaphonous,,,,,,,,,,,,,,,,,,,,,,,,,
,,Digi Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Digi Desert,,,,,,,,,,,,,,,,,,,,,,,,,
,,Digi Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Digital Lavender,,,,,,,,,,,,,,,,,,,,,,,,,
,,Digital Lilac,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dobby Black,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dobby Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dobby Brown,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dobby Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dobby Magenta,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dobby Navy,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dobby Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dobby Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dobby Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Double Cream,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dress Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ds Black,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ds Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ds Blue Rag,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ds Blue Resin,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ds Blue Tint,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ds Navy,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ds Tint,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dull Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dusted Grape,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dusty Mauve,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dusty Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dusty Purple,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earthy Green,,,,,,,,,,,,,,,,,,,,,,,,,
